University Rank,Name of University,Location,No of student,No of student per staff,International Student,Female:Male Ratio,OverAll Score,Teaching Score,Research Score,Citations Score,Industry Income Score,International Outlook Score
36,"Nanyang Technological University, Singapore",Singapore,"24,651",0.0634167385677308,25%,48 : 52,77.0,0.5925480769230769,0.7638136511375949,0.8709677419354839,0.7543581616481776,0.939252336448598
37,London School of Economics and Political Science,United Kingdom,"11,120",0.0496117342536669,73%,55 : 45,76.5,0.5721153846153847,0.7248104008667389,0.9506048387096774,0.0142630744849444,0.919392523364486
38,Georgia Institute of Technology,United States,"28,826",0.1048317515099223,40%,33 : 67,76.0,0.5841346153846154,0.7421451787648972,0.9133064516129032,0.4437400950871633,0.7838785046728973
39,The University of Tokyo,Japan,"26,112",0.043572044866264,15%,58 : 42,75.9,0.9194711538461536,0.9100758396533044,0.5514112903225806,0.7892234548335975,0.3411214953271027
40,University of British Columbia,Canada,"56,452",0.0798101811906816,34%,55 : 45,75.7,0.6165865384615384,0.7118093174431203,0.8870967741935484,0.1743264659270997,0.9427570093457944
41,École Polytechnique Fédérale de Lausanne,Switzerland,"11,641",0.0513373597929249,62%,30 : 70,75.4,0.6490384615384615,0.685807150595883,0.84375,0.5515055467511887,0.980140186915888
42,KU Leuven,United States,"47,663",0.1557377049180328,18%,51 : 49,74.6,0.578125,0.7313109425785483,0.8659274193548387,0.9873217115689384,0.7324766355140186
43,Universität Heidelberg,United States,"19,347",0.0565142364106988,21%,55 : 45,74.1,0.6682692307692308,0.5861321776814735,0.9596774193548387,0.2979397781299525,0.6670560747663552
44,Monash University,Australia,"58,725",0.1816220880069025,41%,57 : 43,73.6,0.5444711538461539,0.6641386782231853,0.903225806451613,0.6576862123613314,0.8983644859813085
45,Chinese University of Hong Kong,United States,"18,468",0.0802415875754961,21%,58 : 42,73.2,0.5709134615384616,0.581798483206934,0.9566532258064516,0.3803486529318541,0.9158878504672898
46,McGill University,United States,"32,309",0.0522001725625539,30%,60 : 40,73.0,0.6057692307692307,0.7042253521126761,0.8235887096774194,0.1045958795562599,0.8983644859813085
47,Paris Sciences et Lettres – PSL Research University Paris,France,"16,218",0.0629853321829163,22%,51 : 49,72.9,0.6802884615384616,0.7161430119176598,0.7530241935483871,0.6640253565768621,0.7266355140186915
48,University of Illinois at Urbana-Champaign,United States,"48,674",0.0733390854184641,22%,48 : 52,72.7,0.6670673076923076,0.7746478873239437,0.7792338709677419,0.2091917591125198,0.491822429906542
49,Karolinska Institute,Sweden,"8,021",0.040983606557377,27%,70 : 30,72.4,0.4747596153846154,0.6652221018418202,0.939516129032258,0.4675118858954041,0.8551401869158879
50,University of Texas at Austin,United States,"49,171",0.0733390854184641,10%,53 : 47,72.3,0.65625,0.7118093174431203,0.873991935483871,0.2282091917591124,0.3037383177570094
51,Fudan University,China,"36,318",0.0496117342536669,9%,52 : 48,72.0,0.7235576923076923,0.7410617551462622,0.7429435483870968,0.6402535657686212,0.3633177570093458
52,Shanghai Jiao Tong University,China,"37,478",0.0478861087144089,8%,42 : 58,71.2,0.7656249999999999,0.8179848320693391,0.595766129032258,1.0,0.3457943925233644
53,The University of Queensland,United States,"41,372",0.1458153580672994,41%,55 : 45,71.1,0.532451923076923,0.6403033586132177,0.8417338709677419,0.7147385103011095,0.9240654205607476
54,University of Manchester,United States,"37,035",0.0595340811044003,44%,55 : 45,70.9,0.515625,0.609967497291441,0.912298387096774,0.1331220285261489,0.9182242990654206
54,The University of Sydney,Australia,"45,853",0.0802415875754961,45%,58 : 42,70.9,0.498798076923077,0.6327193932827736,0.8840725806451613,0.5752773375594296,0.8936915887850467
